thread_id,tweet_id,text,timestamp,intent_label,llm_suggested_label
1383061,1383061,[USER] [USER] Unable to join Amazon prime from mobile prime video app.,2017-10-28 07:15:37+00:00,account_access,account_access
2800418,2800418,"[USER] I just bought a digital code about 15-20 minutes ago and it is still, ""Pending Verification."" How long is this going to take?",2017-11-22 00:09:04+00:00,account_access,account_access
983315,983315,[USER] アカウントが乗っ取られた電話も繋がらないし利用停止に出来ません。,2017-10-14 09:32:03+00:00,account_access,account_access
2416363,2416363,[USER] why isn't my account unblocked my you guys,2017-10-29 09:14:34+00:00,account_access,account_access
1366165,1366164,[USER] My account is suspended from past 20 days and I was told as soon as I get feedback on that account it would be reviewed and reinstate the account I started getting the feedback but no sign of the activation of the account and I am helpless now as it is the only income source,2017-11-25 12:12:55+00:00,account_access,account_access
1016746,1016746,"[USER] I need your help! I created an account, then I bought something, now I don't remember the email I used. Help me!",2017-10-23 00:40:22+00:00,account_access,account_access
1521125,1521125,[USER] i have twitch prime now for about 5 month but since the beginning of the month i see adds again. I also checked that i have still amazon prime. Could you help me out with this problem?,2017-11-03 17:22:52+00:00,account_access,account_access
388423,388423,"[USER] is there away to unsubscribe for all ""Thank you for purchasing"" email from third party vendors on amazon?",2017-10-09 14:12:27+00:00,account_settings,account_settings
101726,101726,Olá! Preciso entrar em contato com algum atendente online [USER],2017-11-30 17:33:23+00:00,agent_escalation,agent_escalation
974832,974832,[USER] [USER] now please you also don’t reply to my message and tweets really amazing customers service no one bothers,2017-10-14 06:50:25+00:00,agent_escalation,agent_escalation
2263021,2263021,Extremely disappointed with the lack of #customerservice with [USER] Order 1__credit_card__ has yet to be delivered with the items described in the item description. Numerous chats and still being told I should reorder. Rethinking all future business with [USER] #amazonsucks,2017-11-20 23:35:46+00:00,agent_escalation,agent_escalation
349141,349141,Amazon sale is very pathetic and fully dependable on their courier services. They even don't have final solution for their customers.,2017-10-08 07:39:38+00:00,agent_escalation,agent_escalation
2757455,2757455,Damn Christine from [USER] really did me dirty on their customer support page. #TrashService,2017-11-21 02:51:02+00:00,agent_escalation,agent_escalation
1673657,1673657,[USER] just had the worst experience ever with Amazon chat and phone support! HELP!,2017-11-06 17:25:59+00:00,agent_escalation,agent_escalation
852803,852803,[USER] I would like a full refund. Amazon really slapped my head.,2017-10-20 15:33:04+00:00,agent_escalation,agent_escalation
1775060,1775062,[USER] Amazon customer service is absolutely atrocious! I can't believe I've had to call customer service 5 times in the last week over this order!,2017-11-16 03:37:20+00:00,agent_escalation,agent_escalation
1753339,1753339,[USER] [USER] #WTF unable to contact customer care. It's disconnecting after telling return time is over of every call. No othr option🤷🏻,2017-11-07 18:30:50+00:00,agent_escalation,agent_escalation
1266397,1266392,[USER] Shining example of customer harassment Do u follow a SLA.. ur representative said on call due to festivals expect delay Will u ever refund,2017-10-26 12:48:27+00:00,agent_escalation,agent_escalation
421365,421365,[USER] order tracking method is very pathetic in amazon.they dont update for days the status of the shipment at that point of time.,2017-10-10 08:04:53+00:00,agent_escalation,agent_escalation
1133063,1133063,[USER] feeling harassed,2017-10-24 12:32:53+00:00,agent_escalation,agent_escalation
563939,563939,[USER] can you please make sure your delivery staff are polite and courteous to their customers! It is never nice to hear that they have been outright rude to your mother! Thanks x,2017-12-02 23:47:57+00:00,agent_escalation,agent_escalation
1662603,1662603,[USER] This link appears to be broken,2017-11-06 09:21:54+00:00,agent_escalation,agent_escalation
2296659,2296659,I really can’t handle stupid people this early in the morning. I’m talk to you [USER] Third call into customer “care” #annoyed,2017-11-12 12:34:33+00:00,agent_escalation,agent_escalation
772756,772756,[USER] after over 5 escalations you have been unable to consistently follow delivery instructions Delivery person isn't receiving them,2017-10-12 00:58:16+00:00,agent_escalation,agent_escalation
2646251,2646251,"[USER] - Get your ship together! Disgraceful [USER] - Rules are rules & company turns a blind eye to relentless drivers within our area using bots to automatically accept blocks. Not fair but don’t know how to solve, burying head in the sand.",2017-11-17 21:50:05+00:00,agent_escalation,agent_escalation
686693,686693,"[USER] cancels my order. No email about problems. Only noticed it was gone when checking on other order. Chat rep says leadership will reply & make it right. Hr later get cancellation email. No other response. That's how they ""made it right."" [USER] sucks.",2017-11-23 13:45:13+00:00,agent_escalation,agent_escalation
1759694,1759694,[USER] Buen día! me gustaría si pudieran proporcionarme el correo del coordinador del proyecto de artesanos!! Hay buenas noticias,2017-11-07 17:16:17+00:00,contact_request,contact_request
309468,309468,oi [USER] amada como q faz pra falar com a galera do Prime Video no BR?,2017-10-07 01:37:39+00:00,contact_request,contact_request
1457931,1457931,[USER] pouvez vous me suivre j’ai besoin de vous envoyer un message privé svp Merci,2017-11-02 20:29:31+00:00,contact_request,contact_request
2530488,2530488,[USER] do you have an email address to lodge formal complaints?,2017-10-30 10:08:37+00:00,contact_request,contact_request
2693902,2693902,"[USER] me han bloqueado mi cuenta y no puedo comunicarme con ustedes, soy de Mexico, algún número o de qué forma puedo solucionar esto?",2017-11-19 17:30:03+00:00,contact_request,contact_request
2388967,2388967,Usually a very good service from [USER] - but twice iv had something late now in the space of a week!!! Really annoying as one item was for work!!! Not happy 😡😡😡😡😡,2017-11-14 08:10:21+00:00,delivery_delay,delivery_delay
2853720,2853720,"Dites [USER] c'est une blague vos livraisons, non ? Chez des voisins qui n'existent pas et même pas identifiés.",2017-11-27 20:21:03+00:00,delivery_delay,delivery_delay
1438206,1438206,Vamos a ver [USER] q mola q querais adelantar los envios x eso d q nos llegue antes pero si digo tal dia es xq el resto NO estoy. Y no mola cuando los repartidores insisten en dejarselo a un vecino o tienda y t dicen q el dia pactado no saben si el paquete saldrá... MAL!,2017-11-02 10:25:14+00:00,delivery_delay,delivery_delay
319718,319718,[USER] It's been 3 days now your support and delivery agents are blaming each other for the delay in delivery will I even get my orders?,2017-10-07 11:20:07+00:00,delivery_delay,delivery_delay
